epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.258,1.83975,1.20275,1.42022,0.87677,0.88437,0.88511,0.40025,1.90323,0.92158,1.51274,0.000199727,0.000199727,0.080227
2,212.721,1.75305,1.00798,1.40579,0.84725,0.82148,0.87729,0.41023,1.86612,0.96786,1.5038,0.000399684,0.000399684,0.060427
3,313.533,1.73113,0.95501,1.39971,0.9277,0.89388,0.9333,0.45737,1.73099,0.89719,1.39648,0.000599467,0.000599467,0.0406268
4,414.51,1.67616,0.91116,1.37441,0.88216,0.89695,0.91316,0.45559,1.78588,1.11665,1.4838,0.000798946,0.000798946,0.0208262
5,535.093,1.62376,0.86166,1.34541,0.93567,0.8955,0.94815,0.50947,1.63669,0.81357,1.3899,0.000997992,0.000997992,0.00102528
6,638.392,1.57656,0.8309,1.31685,0.9646,0.92275,0.9647,0.54058,1.57758,0.6859,1.35179,0.000997288,0.000997288,0.000997288
7,736.873,1.52425,0.78501,1.28925,0.97373,0.96855,0.97811,0.56881,1.48879,0.61596,1.28242,0.000996097,0.000996097,0.000996097
8,852.228,1.47428,0.74317,1.25829,0.94783,0.94872,0.97284,0.57987,1.47643,0.66047,1.28972,0.00099469,0.00099469,0.00099469
9,954.564,1.45256,0.72881,1.25116,0.9687,0.96468,0.98124,0.61461,1.34505,0.57565,1.21806,0.000993068,0.000993068,0.000993068
10,1054.03,1.42368,0.70893,1.23031,0.97416,0.96655,0.98673,0.61343,1.3743,0.57141,1.21047,0.000991232,0.000991232,0.000991232
11,1153.6,1.38452,0.69485,1.21651,0.97523,0.97194,0.98207,0.62037,1.33584,0.56139,1.20908,0.000989183,0.000989183,0.000989183
12,1252.97,1.35711,0.67603,1.20031,0.97689,0.97,0.98987,0.63527,1.29462,0.55187,1.19704,0.000986922,0.000986922,0.000986922
13,1352.24,1.34005,0.66478,1.19439,0.98386,0.97388,0.99048,0.66274,1.22586,0.52033,1.1506,0.000984449,0.000984449,0.000984449
14,1451.8,1.30067,0.6419,1.17671,0.9755,0.96295,0.98017,0.66166,1.224,0.53258,1.14462,0.000981765,0.000981765,0.000981765
15,1550.94,1.29155,0.63793,1.17761,0.98843,0.97678,0.99174,0.67261,1.19557,0.5016,1.14431,0.000978873,0.000978873,0.000978873
16,1745.06,1.27884,0.62987,1.16651,0.98775,0.9756,0.99273,0.68969,1.13678,0.49189,1.10446,0.000975773,0.000975773,0.000975773
17,1956.22,1.25065,0.61418,1.15642,0.99025,0.98272,0.99359,0.69951,1.09383,0.46556,1.08804,0.000972466,0.000972466,0.000972466
18,2168.2,1.23264,0.60521,1.14581,0.98926,0.98028,0.99234,0.69516,1.11449,0.47236,1.095,0.000968955,0.000968955,0.000968955
19,2400.38,1.21782,0.59678,1.13793,0.99215,0.98355,0.99414,0.71469,1.05363,0.45162,1.06525,0.000965239,0.000965239,0.000965239
20,2637.64,1.19513,0.58596,1.12369,0.99266,0.98206,0.99395,0.71211,1.06637,0.45072,1.0636,0.000961322,0.000961322,0.000961322
21,3011.07,1.19542,0.584,1.12496,0.99315,0.98174,0.99367,0.72887,1.00746,0.43896,1.04522,0.000957205,0.000957205,0.000957205
22,3312.27,1.16306,0.56619,1.11308,0.9933,0.985,0.99466,0.74071,0.97433,0.43015,1.02347,0.000952889,0.000952889,0.000952889
23,3532.67,1.15212,0.57118,1.10512,0.99429,0.98645,0.99464,0.74314,0.96601,0.42227,1.02245,0.000948377,0.000948377,0.000948377
24,3750.47,1.13605,0.55227,1.09724,0.99316,0.98278,0.99394,0.74977,0.96044,0.41908,1.01457,0.000943671,0.000943671,0.000943671
25,3979.16,1.12659,0.54754,1.09464,0.99603,0.98645,0.9948,0.76317,0.9085,0.40336,0.99655,0.000938772,0.000938772,0.000938772
26,4212.36,1.10995,0.54518,1.08597,0.99223,0.98908,0.99483,0.76374,0.90648,0.40215,0.99842,0.000933683,0.000933683,0.000933683
27,4432.29,1.09217,0.53418,1.07764,0.9932,0.98893,0.99489,0.7725,0.87622,0.38284,0.97969,0.000928405,0.000928405,0.000928405
28,4653.06,1.07517,0.52457,1.06855,0.99464,0.98755,0.99479,0.77963,0.85593,0.37989,0.97093,0.000922942,0.000922942,0.000922942
29,4874.76,1.06567,0.5216,1.06177,0.99804,0.98548,0.99464,0.78619,0.83707,0.36918,0.96569,0.000917296,0.000917296,0.000917296
30,5091.77,1.04011,0.5071,1.05399,0.99707,0.9867,0.9949,0.79207,0.8197,0.36058,0.95495,0.000911469,0.000911469,0.000911469
31,5323.69,1.04026,0.50743,1.05592,0.99562,0.98884,0.99495,0.79596,0.80622,0.36248,0.94984,0.000905463,0.000905463,0.000905463
32,5551.85,1.02532,0.5003,1.04776,0.99951,0.98718,0.99495,0.79954,0.7856,0.35083,0.93758,0.000899282,0.000899282,0.000899282
33,5772.81,1.02241,0.50392,1.04348,0.99084,0.99427,0.99491,0.80472,0.78362,0.3462,0.94199,0.000892928,0.000892928,0.000892928
34,5994.44,1.00469,0.49575,1.04005,0.99657,0.98984,0.99496,0.80233,0.78397,0.3491,0.94557,0.000886404,0.000886404,0.000886404
35,6216.91,1.00161,0.49881,1.04287,0.99704,0.99419,0.99499,0.80986,0.75758,0.33897,0.93437,0.000879713,0.000879713,0.000879713
